#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
110,ALKATETZA ETA KONTRATAZIOA,1533,HIRIKO ESPAZIOEN URBANIZAZIOA ETA HORIETAKO AZPIEGITURAK,73503,KAPITAL TRANSFERENTZIAK BILBAO RIA 2000 SA-RI,110,1,7,659600,0,659600,0
110,ALKATETZA ETA KONTRATAZIOA,3331,MUSEOAK ETA ARTE PLASTIKOAK,43608,TRANSFERENTZIA ARRUNTAK ITSAS MUSEORA,110,3,4,170500,75000,245500,245500
110,ALKATETZA ETA KONTRATAZIOA,3341,ARTE ESZENIKOAK,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,80000,0,80000,80000
110,ALKATETZA ETA KONTRATAZIOA,3371,AISIALDIRAKO INSTALAZIOAK,43304,TRANSFERENTZIA ARRUNTAK AZKUNA ZENTRORA,110,3,4,5997000,-54696,5942304,5937027.26
110,ALKATETZA ETA KONTRATAZIOA,3371,AISIALDIRAKO INSTALAZIOAK,73304,KAPITAL TRANSFERENTZIAK AZKUNA ZENTRORA,110,3,7,140000,69696,209696,189259.92
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,180161,0,180161,187610.97
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,635723,0,635723,413561.86
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,185951,0,185951,149129.64
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12101,LANTOKI OSAGARRIA,110,9,1,96584,0,96584,113314.65
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12102,OSAGARRI BEREZIA,110,9,1,236838,0,236838,256343.98
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,21063,0,21063,29578.21
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12104,HABOROKINAK,110,9,1,23220,0,23220,22691.6
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12105,PRESTAZIOAK ETA OSAGARRIAK ALDI BATERAKO EZINTASUNAK,110,9,1,0,0,0,3914.76
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,110,9,1,255203,0,255203,180364.24
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,9164,0,9164,10767.68
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,20101,ERAIKINEN ETA BESTELAKO ERAIKUNTZEN ERRENTAMENDUA,110,9,2,2000,0,2000,0
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,20901,BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA,110,9,2,4000,0,4000,25942.4
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK",110,9,2,1000,0,1000,0
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,22199,BESTELAKO HORNIDURAK,110,9,2,2000,0,2000,594.64
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,22601,KANONAK,110,9,2,3000,0,3000,4507.01
