#Subconcepto,,Prevision Inicial 2017,Modificaciones 2017,Previsión definitiva 2017,Derechos reconocidos netos 2017
11201,LANDA ONDASUN HIGIEZINEN GAINEKO ZERGA,2000,0,2000,0
11202,HIRI ONDASUN HIGIEZINEN GAINEKO ZERGA,50440000,0,50440000,50077482.91
11301,TRAKZIO MEKANIKOZKO IBILGAILUEN GAINEKO ZERGA,17954000,0,17954000,17909266.29
11401,HIRILURREN BALIOAREN GEHIKUNTZAREN GAINEKO ZERGA,7600000,0,7600000,2137299.99
13001,JARDUERA EKONOMIKOEN GAINEKO ZERGA,14024000,0,14024000,9746310.08
13002,JARDUERA EKONOMIKOEN GAINEKO ZERGAREN FORU GAINKARIA,0,0,0,0
28201,"ERAIKUNTZA LANEN, INSTALAZIOEN ETA OBREN GAINEKO ZERGA",8100000,0,8100000,2919880.94
30004,UDAL GORDAILUAN BERTAN BEHERA UTZITAKO IBILGAILUEN SALMENTA,100000,0,100000,59186
31001,ZABORRAK ETA HIRI HONDAKIN SOLIDOAK ETXEAN BATZEAREN TASA,21726000,0,21726000,312.83
31002,ESTOLDERI ZERBITZUAREN TASA,6990000,0,6990000,7252374.42
31004,DOKUMENTUAK EGITEKO ETA EMATEKO ZERBITZUAREN TASA,18000,0,18000,8612.04
31005,IBILGAILUAK BIDE PUBLIKOTIK EROATEKO ETA UDAL GORDAILUETAN EDUKITZEKO ZERB. TASA,630000,0,630000,257334.46
31006,UDALTZAINGOAREN ZERBITZU BEREZIEN TASA,25000,0,25000,6019.85
31008,UDALEKO SUHILTZAILEEN ETA BABES ZIBILAREN ZERBITZUEN TASA,1000000,0,1000000,459654.58
31009,UR HORNIDURAREN TASA,16160000,0,16160000,5757117.96
31015,ETXEZ ETXEKO LAGUNTZA ZERBITZUAREN ETA BESTE GIZARTE ZERBITZU BATZUEN TASA,800000,0,800000,440798.02
31019,HIRIBARRUKO GARRAIO KOLEKTIBOAREN ZERBITZUAREN TASA,2000,0,2000,0
31021,OSASUN ZERBITZUEN TASA,15000,0,15000,13185.05
31022,ANBULANTZIEN ZERBITZUEN TASA,3000,0,3000,1281.18
