#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",2111,ENTITATEAREN KONTURAKO PENTSIOAK,16102,ENTITATEAREN KONTURAKO PENTSIOAK,110,2,1,370000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",3331,MUSEOAK ETA ARTE PLASTIKOAK,43608,TRANSFERENTZIA ARRUNTAK ITSAS MUSEORA,110,3,4,255500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",3341,ARTE ESZENIKOAK,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,80000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",3342,ESZENIKOAK EZ DIREN KULTUR JARDUERAK,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,25000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,188724
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,499084
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,226492
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12101,LANTOKI OSAGARRIA,110,9,1,71462
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12102,OSAGARRI BEREZIA,110,9,1,193591
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,18283
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,12104,HABOROKINAK,110,9,1,14221
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,110,9,1,245871
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,4528
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,20101,ERAIKINEN ETA BESTELAKO ERAIKUNTZEN ERRENTAMENDUA,110,9,2,2000
